"filename", "language", "XML", "C#", "Properties", "JSON", "comment", "blank", "total"
"c:\Users\Hasan\Documents\Ödevler\Bomberman\src\Game\Bombs\Abstractions\IObserver.cs", "C#", 0, 7, 0, 0, 0, 0, 7
"c:\Users\Hasan\Documents\Ödevler\Bomberman\src\Game\Bombs\Abstractions\ISubject.cs", "C#", 0, 9, 0, 0, 0, 0, 9
"c:\Users\Hasan\Documents\Ödevler\Bomberman\src\Game\Bombs\Concretes\Bomb.cs", "C#", 0, 112, 0, 0, 0, 2, 114
"c:\Users\Hasan\Documents\Ödevler\Bomberman\src\Game\GameManager.cs", "C#", 0, 118, 0, 0, 0, 5, 123
"c:\Users\Hasan\Documents\Ödevler\Bomberman\src\Game\Map\Abstractions\ITheme.cs", "C#", 0, 8, 0, 0, 0, 0, 8
"c:\Users\Hasan\Documents\Ödevler\Bomberman\src\Game\Map\Abstractions\ThemeFactory.cs", "C#", 0, 44, 0, 0, 0, 1, 45
"c:\Users\Hasan\Documents\Ödevler\Bomberman\src\Game\Map\Concretes\CityUnWall.cs", "C#", 0, 12, 0, 0, 0, 1, 13
"c:\Users\Hasan\Documents\Ödevler\Bomberman\src\Game\Map\Concretes\CityWall.cs", "C#", 0, 28, 0, 0, 0, 2, 30
"c:\Users\Hasan\Documents\Ödevler\Bomberman\src\Game\Map\Concretes\DesertUnWall.cs", "C#", 0, 12, 0, 0, 0, 2, 14
"c:\Users\Hasan\Documents\Ödevler\Bomberman\src\Game\Map\Concretes\DesertWall.cs", "C#", 0, 28, 0, 0, 0, 2, 30
"c:\Users\Hasan\Documents\Ödevler\Bomberman\src\Game\Map\Concretes\Factories\CityFactory.cs", "C#", 0, 15, 0, 0, 0, 1, 16
"c:\Users\Hasan\Documents\Ödevler\Bomberman\src\Game\Map\Concretes\Factories\DesertFactory.cs", "C#", 0, 15, 0, 0, 0, 2, 17
"c:\Users\Hasan\Documents\Ödevler\Bomberman\src\Game\Map\Concretes\Factories\ForestFactory.cs", "C#", 0, 15, 0, 0, 0, 2, 17
"c:\Users\Hasan\Documents\Ödevler\Bomberman\src\Game\Map\Concretes\ForestUnWall.cs", "C#", 0, 12, 0, 0, 0, 2, 14
"c:\Users\Hasan\Documents\Ödevler\Bomberman\src\Game\Map\Concretes\ForestWall.cs", "C#", 0, 28, 0, 0, 0, 2, 30
"c:\Users\Hasan\Documents\Ödevler\Bomberman\src\Game\Map\Concretes\InvisibleWall.cs", "C#", 0, 12, 0, 0, 0, 2, 14
"c:\Users\Hasan\Documents\Ödevler\Bomberman\src\Game\Map\Renderer\Abstractions\RendererHandler.cs", "C#", 0, 12, 0, 0, 0, 2, 14
"c:\Users\Hasan\Documents\Ödevler\Bomberman\src\Game\Map\Renderer\Concretes\RenderBomb.cs", "C#", 0, 35, 0, 0, 0, 2, 37
"c:\Users\Hasan\Documents\Ödevler\Bomberman\src\Game\Map\Renderer\Concretes\RenderPlayer.cs", "C#", 0, 24, 0, 0, 0, 2, 26
"c:\Users\Hasan\Documents\Ödevler\Bomberman\src\Game\Map\Renderer\Concretes\RenderWall.cs", "C#", 0, 27, 0, 0, 0, 2, 29
"c:\Users\Hasan\Documents\Ödevler\Bomberman\src\Game\Map\Renderer\MapRenderer.cs", "C#", 0, 67, 0, 0, 0, 8, 75
"c:\Users\Hasan\Documents\Ödevler\Bomberman\src\Game\Player\Abstractions\IPlayer.cs", "C#", 0, 14, 0, 0, 0, 0, 14
"c:\Users\Hasan\Documents\Ödevler\Bomberman\src\Game\Player\Abstractions\PlayerDecarator.cs", "C#", 0, 37, 0, 0, 0, 9, 46
"c:\Users\Hasan\Documents\Ödevler\Bomberman\src\Game\Player\Concretes\Player.cs", "C#", 0, 91, 0, 0, 0, 7, 98
"c:\Users\Hasan\Documents\Ödevler\Bomberman\src\Program.cs", "C#", 0, 35, 0, 0, 1, 8, 44
"c:\Users\Hasan\Documents\Ödevler\Bomberman\src\bin\Debug\net10.0\src.deps.json", "JSON", 0, 0, 0, 23, 0, 0, 23
"c:\Users\Hasan\Documents\Ödevler\Bomberman\src\bin\Debug\net10.0\src.runtimeconfig.json", "JSON", 0, 0, 0, 12, 0, 0, 12
"c:\Users\Hasan\Documents\Ödevler\Bomberman\src\bin\Release\net10.0\src.deps.json", "JSON", 0, 0, 0, 23, 0, 0, 23
"c:\Users\Hasan\Documents\Ödevler\Bomberman\src\bin\Release\net10.0\src.runtimeconfig.json", "JSON", 0, 0, 0, 13, 0, 0, 13
"c:\Users\Hasan\Documents\Ödevler\Bomberman\src\obj\Debug\net10.0\.NETCoreApp,Version=v10.0.AssemblyAttributes.cs", "C#", 0, 3, 0, 0, 1, 1, 5
"c:\Users\Hasan\Documents\Ödevler\Bomberman\src\obj\Debug\net10.0\src.AssemblyInfo.cs", "C#", 0, 9, 0, 0, 9, 5, 23
"c:\Users\Hasan\Documents\Ödevler\Bomberman\src\obj\Debug\net10.0\src.GeneratedMSBuildEditorConfig.editorconfig", "Properties", 0, 0, 17, 0, 0, 1, 18
"c:\Users\Hasan\Documents\Ödevler\Bomberman\src\obj\Debug\net10.0\src.GlobalUsings.g.cs", "C#", 0, 7, 0, 0, 1, 1, 9
"c:\Users\Hasan\Documents\Ödevler\Bomberman\src\obj\Release\net10.0\.NETCoreApp,Version=v10.0.AssemblyAttributes.cs", "C#", 0, 3, 0, 0, 1, 1, 5
"c:\Users\Hasan\Documents\Ödevler\Bomberman\src\obj\Release\net10.0\src.AssemblyInfo.cs", "C#", 0, 9, 0, 0, 9, 5, 23
"c:\Users\Hasan\Documents\Ödevler\Bomberman\src\obj\Release\net10.0\src.GeneratedMSBuildEditorConfig.editorconfig", "Properties", 0, 0, 17, 0, 0, 1, 18
"c:\Users\Hasan\Documents\Ödevler\Bomberman\src\obj\Release\net10.0\src.GlobalUsings.g.cs", "C#", 0, 7, 0, 0, 1, 1, 9
"c:\Users\Hasan\Documents\Ödevler\Bomberman\src\obj\project.assets.json", "JSON", 0, 0, 0, 348, 0, 0, 348
"c:\Users\Hasan\Documents\Ödevler\Bomberman\src\obj\src.csproj.nuget.dgspec.json", "JSON", 0, 0, 0, 343, 0, 0, 343
"c:\Users\Hasan\Documents\Ödevler\Bomberman\src\obj\src.csproj.nuget.g.props", "XML", 15, 0, 0, 0, 0, 0, 15
"c:\Users\Hasan\Documents\Ödevler\Bomberman\src\obj\src.csproj.nuget.g.targets", "XML", 2, 0, 0, 0, 0, 0, 2
"c:\Users\Hasan\Documents\Ödevler\Bomberman\src\src.csproj", "XML", 8, 0, 0, 0, 0, 3, 11
"Total", "-", 25, 855, 34, 762, 23, 85, 1784